"id","start_date","end_date","address","active","create_date"
1,"2015-03-11 13:00:00.0","2015-03-21 13:00:00.0",Голубой зал РГБИ,1,"2015-05-20 06:59:56.0"
4,"2015-05-19 13:30:00.0","2015-05-19 14:30:00.0",Голубой зал РГБИ,1,"2015-05-19 13:08:47.0"
5,"2015-05-20 13:00:00.0","2015-05-20 14:00:00.0",Музей читателя РГБИ,1,"2015-05-19 13:14:25.0"
6,"2015-05-21 13:00:00.0","2015-05-21 13:50:00.0"," Музей читателя РГБИ (Б. Дмитровка, д.8/1)",1,"2015-05-19 13:23:57.0"
7,"2015-05-28 14:00:00.0","2015-05-28 15:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д.8/1)",0,"2015-05-26 12:35:00.0"
8,"2015-05-07 09:00:00.0","2015-05-31 09:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1) ,1,"2015-05-20 06:59:08.0"
9,"2015-05-09 09:00:00.0","2015-05-31 09:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1) ,1,"2015-05-20 07:23:10.0"
10,"2015-05-05 09:00:00.0","2015-05-31 09:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1) ,1,"2015-05-22 12:25:16.0"
11,"2015-05-14 13:30:00.0","2015-05-14 15:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д.8/1)",1,"2015-05-20 07:47:12.0"
12,"2015-05-12 13:30:00.0","2015-05-29 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д.8/1)",0,"2015-05-20 08:40:22.0"
13,"2015-05-07 14:00:00.0","2015-05-07 14:30:00.0","Музей читателя РГБИ (Б. Дмитровка, д.8/1)",1,"2015-05-22 12:19:12.0"
14,"2015-05-27 10:00:00.0","2015-05-27 11:00:00.0",Музей читателя РГБИ,1,"2015-05-26 12:40:14.0"
15,"2015-06-03 09:00:00.0","2015-06-30 15:00:00.0","Национальная библиотека Удмуртской Республики, Ижевск, ул. 30 лет Победы, 14",1,"2015-06-05 09:50:03.0"
16,"2015-06-08 09:00:00.0","2015-06-27 21:00:00.0","Российский центр науки и культуры Словения, г. Любляна",1,"2015-06-05 09:56:25.0"
17,"2015-06-08 13:00:00.0","2015-06-22 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д.8/1)",1,"2015-06-05 10:03:21.0"
18,"2015-06-11 13:00:00.0","2015-06-11 15:00:00.0","Музей читателя РГБИ  (Б. Дмитровка, д.8/1)",1,"2015-06-05 10:14:52.0"
19,"2015-06-01 09:00:00.0","2015-06-30 09:00:00.0",Отдел абонемента РГБИ  (Петровские линии д.1)  ,1,"2015-06-05 10:54:41.0"
20,"2015-07-01 09:00:00.0","2015-07-31 09:00:00.0",Отдел абонемента РГБИ  (Петровские линии д.1)  ,1,"2015-07-01 12:32:55.0"
21,"2015-08-20 12:00:00.0","2015-08-20 14:00:00.0","Зал на Кузнецком РГБИ (Кузнецкий мост, д.1)",1,"2015-08-05 06:07:53.0"
22,"2015-08-03 09:00:00.0","2015-08-31 09:00:00.0","Отдел абонемента РГБИ  (Петровские линии, д.1)  ",1,"2015-08-31 11:50:15.0"
23,"2015-09-08 13:00:00.0","2015-09-08 15:00:00.0","Донская государственная публичная библиотека.  (г. Ростов-на-Дону, ул. Пушкинская, 175а. Выставочный зал)",1,"2015-08-26 11:55:24.0"
24,"2015-09-18 13:00:00.0","2015-09-18 15:00:00.0","Крымский Вал, 10 Центральный Дом Художника (ЦДХ)",1,"2015-08-26 11:54:24.0"
25,"2015-09-18 09:00:00.0","2015-09-28 09:00:00.0","Крымский Вал, 10 Центральный Дом Художника (ЦДХ)",1,"2015-08-26 12:04:13.0"
26,"2015-09-17 09:00:00.0","2015-10-01 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-08-28 11:56:02.0"
27,"2015-09-24 13:00:00.0","2015-08-24 15:00:00.0","Музей читателя РГБИ  (Б. Дмитровка, д. 8/1)",1,"2015-08-28 12:00:30.0"
28,"2015-09-24 15:00:00.0","2015-09-24 16:00:00.0","Зал на Кузнецком РГБИ  (Кузнецкий мост, д.1)",1,"2015-08-28 13:37:09.0"
29,"2015-09-24 11:00:00.0","2015-09-24 12:00:00.0","Зал на Кузнецком РГБИ (Кузнецкий мост, д.1)",1,"2015-08-31 08:43:04.0"
30,"2015-09-25 12:00:00.0","2015-09-25 13:00:00.0","",1,"2015-08-31 09:20:13.0"
31,"2015-09-04 09:00:00.0","2015-10-01 09:00:00.0","Отдел абонемента РГБИ (Петровские линии, д.1) ",1,"2015-08-31 12:15:29.0"
32,"2015-10-08 13:00:00.0","2015-10-21 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-10-05 07:55:23.0"
33,"2015-10-01 09:00:00.0","2015-10-01 13:00:00.0","Астраханская областная публичная библиотека, (Астрахань,  ул. Эспланадная, 14)",1,"2015-10-05 08:19:28.0"
34,"2015-10-14 13:00:00.0","2015-10-14 15:00:00.0","Музей читателя РГБИ  (Б. Дмитровка, д. 8/1)",1,"2015-10-15 09:18:16.0"
35,"2015-10-13 09:00:00.0","2015-11-20 09:00:00.0","Государственная публичная научно-техническая библиотека России (ГПНТБ России) (3-я Хорошевская ул., д. 17)",1,"2015-10-15 09:21:32.0"
36,"2015-10-22 14:00:00.0","2015-10-22 16:00:00.0","Музей читателя РГБИ(Б. Дмитровка, д. 8/1)",1,"2015-10-05 09:00:54.0"
37,"2015-10-24 11:00:00.0","2015-10-24 13:00:00.0","Зал на Кузнецком РГБИ (Кузнецкий мост, д.1)",1,"2015-10-08 11:09:44.0"
38,"2015-10-27 09:00:00.0","2015-11-30 09:00:00.0","Российский культурный центр   (Венгрия, Будапешт, пр. Андраши, 120)",1,"2015-10-08 10:54:06.0"
39,"2015-10-30 13:00:00.0","2015-11-19 15:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-10-08 10:53:07.0"
40,"2015-10-30 12:00:00.0","2015-10-30 14:00:00.0","Зал на Кузнецком РГБИ (Кузнецкий мост, д. 1)",0,"2015-10-26 14:34:06.0"
41,"2015-10-03 09:00:00.0","2015-10-31 09:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1) ,1,"2015-11-19 10:53:24.0"
42,"2015-11-01 09:00:00.0","2015-11-20 15:00:00.0","Государственная публичная научно-техническая библиотека России (ГПНТБ России) (3-я Хорошевская ул., д. 17)",1,"2015-11-19 08:36:52.0"
43,"2015-11-01 09:00:00.0","2015-11-19 09:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-11-19 09:15:31.0"
44,"2015-11-26 09:00:00.0","2015-11-27 16:00:00.0","РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-11-19 09:23:24.0"
45,"2015-11-26 09:00:00.0","2015-12-17 09:00:00.0","",1,"2015-11-19 10:03:59.0"
46,"2015-11-28 11:00:00.0","2015-11-28 14:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2015-11-19 10:24:42.0"
47,"2015-11-01 11:10:27.0","2015-11-30 18:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1) ,1,"2015-11-19 10:55:06.0"
48,"2015-12-01 09:00:00.0","2015-12-31 09:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1),1,"2016-01-12 09:49:54.0"
49,"2015-12-26 13:00:00.0","2015-12-26 14:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2015-12-16 06:11:39.0"
50,"2016-01-01 13:00:00.0","2016-01-24 17:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-02-02 11:22:28.0"
51,"2015-12-17 09:00:00.0","2016-01-22 09:00:00.0","ГПНТБ (3-я Хорошевская ул., д.17)",1,"2015-12-16 06:25:14.0"
52,"2015-12-17 13:00:00.0","2015-12-17 15:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-12-16 06:40:24.0"
53,"2015-12-10 13:00:00.0","2015-12-10 15:00:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-12-16 06:58:20.0"
54,"2015-12-03 13:00:00.0","2015-12-03 14:00:00.0","",1,"2015-12-16 07:10:46.0"
55,"2015-11-26 09:00:00.0","2015-12-17 09:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2015-12-16 07:48:59.0"
56,"2016-01-11 09:00:00.0","2016-02-05 09:00:00.0","Государственный театральный институт   (Екатеринбург, ул. Вайнера, 2)",0,"2016-01-12 08:05:16.0"
57,"2016-01-14 13:03:00.0","2016-01-14 15:30:00.0","Голубой зал РГБИ (Б. Дмитровка, д. 8/1) ",1,"2016-01-12 08:22:15.0"
58,"2016-01-20 13:00:00.0","2016-01-20 14:00:00.0","",1,"2016-01-12 08:36:57.0"
59,"2016-01-23 14:00:00.0","2016-01-23 15:00:00.0","Музей читателя РГБИ (Б. Дмитровка, д. 8/1)",1,"2016-01-12 08:48:27.0"
60,"2016-01-11 09:00:00.0","2016-01-31 09:00:00.0",Отдел абонемента РГБИ (Петровские линии д.1),1,"2016-02-10 12:40:19.0"
61,"2016-01-23 13:00:00.0","2016-01-23 14:00:00.0","Зал на Кузнецком (Кузнецкий мост, д.1)",1,"2016-01-12 09:58:05.0"
