"id","event_id","lang","title","teaser","content"
1,1,ru,Выставка « «Бесконечность красоты»,Выставка « «Бесконечность красоты»,"<p style=""text-align: justify; text-indent: 25px;"">Выставка предлагает погрузиться в мир сказки А.С. Пушкина через музыку Н.А. Римского-Корсакова, сценографию и костюмы К.А. Коровина. В основу выставки положено творческое кредо К.А. Коровина: &laquo;Краски и формы в своих сочетаниях дают гармонию красоты&hellip; Мне хотелось, чтобы глаз зрителя тоже бы эстетически &bdquo;наслаждался&ldquo;, как ухо души &ndash; музыкой&raquo;.</p>
<p style=""text-align: justify; text-indent: 25px;"">Эскизы декораций и костюмов, представленных в экспозиции, служат лучшим подтверждением этой мысли. Композиция эскизов создает атмосферу сказочности, а использование в декорациях и костюмах мотивов народного национального искусства открывает новую страницу интереса к народному творчеству. Все это позволяет развернуть шире данную тему, показав лучшие образцы ремесел в гравюрах, литографиях, фотографиях, открытках &ndash; документах и материалах из фондов РГБИ.</p>
<p style=""text-align: justify; text-indent: 25px;"">В выставочное пространство органично вписываются авторские листы художника Г.И. Голова, ближайшего помощника Коровина. Пластическая галерея макетов костюмов, выполненных по эскизам Коровина, выстраивает дополнительный эмоциональный ряд восприятия экспозиции. Так современные молодые художники &ndash; технологи костюма осваивают и постигают великое наследие выдающихся мастеров прошлого, возрождая лучшие страницы в истории русской сцены.</p>
<p style=""text-align: justify; text-indent: 25px;"">Выставка создана при участии РГБИ, музея Большого театра, кафедры сценического костюма Школы-студии МХАТ им. А.П. Чехова.</p>"
2,1,en,"1","1",<p>1</p>
7,4,ru,Концерт «Была весна – весна победы».,Артисты Театра-студии “Bel Canto” им. В.Е. Коростина исполнят патриотические и лирические песни времен Великой Отечественной войны.,"<p><span style=""color: #000000;"">Артисты </span>Театра-студии &ldquo;Bel Canto&rdquo; им. В.Е. Коростина исполнят патриотические и лирические песни времен Великой Отечественной войны.</p>"
8,4,en,Concert,  ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
9,5,ru,Вечер клуба «Неигрового кино» (при участии ВГИК им. Герасимова),Представление фильма В.П. Лисаковича «Детство среди войны»,"<p><span style=""color: #000000;"">Представление фильма В.П. Лисаковича &laquo;Детство среди войны&raquo;</span></p>
<p><span style=""color: #000000; font-family: Times New Roman;"">В заседании принимают участие кинорежиссер, народный артист Российской Федерации, профессор ВГИК Виктор Петрович Лисакович и студенты кафедры неигрового кино ВГИКа.</span></p>
<p><span style=""color: #000000;"">&nbsp;</span><span style=""color: #000000;"">О фильме. Тяжелые дни военного детства вспоминают те, кто жил при немцах в оккупированной Белоруссии, прятался в холодных подвалах Сталинграда от артиллерийских обстрелов, голодал в блокадном Ленинграде, томился в концлагерях и работал у станков. Эти люди, осиротевшие в те страшные годы, выдержали и вынесли все, что уготовила им война&hellip; </span></p>"
10,5,en,     ,     ,<p>&nbsp;&nbsp;&nbsp;&nbsp;</p>
11,6,ru,Цикл «Маленькие музеи больших городов»,Музей русской гармоники Альфреда Мирека - это единственный музей гармоник в нашей стране и один из четырех в мире,"<p style=""margin: 0cm 0cm 10pt;""><span style=""line-height: 115%; font-family: 'Times New Roman','serif'; font-size: 14pt;""><span style=""color: #000000;"">Музей русской гармоники Альфреда Мирека - это единственный музей гармоник в нашей стране и один из четырех в мире. Музей русской гармоники был создан на основе уникальной коллекции материалов, собранных на протяжении четырех десятилетий Заслуженным деятелем искусств РФ, доктором искусствоведения, профессором Альфредом Мартиновичем Миреком. Долгое время это был частный музей, пользующийся широкой известностью не только в нашей стране, но и за рубежом.</span></span></p>"
12,6,en,Museum,    ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
13,7,ru,Вечер памяти художника-иллюстратора Ильинского И.А.  ,"Совместно с издательствами: «Клевер» (Clever), «Нигма», «Детская литература».","<p><span style=""color: #000000;"">И.А. Ильинский &ndash; заслуженный художник РСФСР, член&nbsp;Союза советских художников. Иллюстрировал книги таких авторов как:</span><span style=""color: #000000;"">&nbsp; </span><span style=""color: #000000;"">С. Маршак, С. Михалков, А.Барто. Многие книги с иллюстрациями И.&nbsp;А.&nbsp;Ильинского, выпущенные издательством &laquo;Детская литература&raquo;, переиздавались в издательствах страны и мира: в Болгарии, Югославии Чехословакии, Румынии, КНР, Франции, Швейцарии, Швеции и других.</span></p>"
14,7,en,Ilyinsty artist ,    ,<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;</p>
